"Path","Files","Lines"
"app/Http/Controllers/Payment/StripeWebhookController.php","1","185"
"app/DataTables/DepartmentDataTable.php","1","184"
"Modules/Webhooks/Jobs/SendWebhook.php","1","184"
"app/Http/Controllers/AttendanceSettingController.php","1","184"
"Modules/Payroll/Http/Controllers/PayrollReportController.php","1","184"
"Modules/Purchase/Console/SalesDoReconciliationReportCommand.php","1","184"
"app/Observers/EstimateTemplateObserver.php","1","184"
"app/DataTables/SalesHistoryDataTable.php","1","184"
"app/Http/Controllers/TaskCalendarController.php","1","184"
"app/Http/Controllers/LoginController.php","1","183"
"app/Http/Controllers/Payment/FlutterwaveController.php","1","183"
"app/Models/ExpenseRecurring.php","1","183"
"app/Http/Controllers/SuperAdmin/FrontSetting/FeatureSettingController.php","1","182"
"app/Models/ModuleSetting.php","1","182"
"Modules/Payroll/DataTables/ExpensesSalarySlipDataTable.php","1","182"
"app/Http/Controllers/ProjectSettingController.php","1","181"
"app/DataTables/DesignationDataTable.php","1","181"
"app/Http/Controllers/Payment/RazorPayController.php","1","181"
"Modules/Warehouse/Jobs/ImportWarehouseChunkJob.php","1","181"
"database/migrations/2023_04_03_132318_fix_invoice_units.php","1","181"
"Modules/Webhooks/DataTables/WebhookLogsDataTable.php","1","180"
"Modules/Purchase/Entities/PurchaseProduct.php","1","180"
"app/Http/Controllers/ContractTemplateController.php","1","180"
"app/Http/Controllers/Payment/MollieController.php","1","180"
"app/DataTables/ContractTemplatesDataTable.php","1","180"
"app/DataTables/AwardDataTable.php","1","180"
"Modules/Asset/Http/Controllers/AssetController.php","1","180"
"app/DataTables/LeadFollowupDataTable.php","1","179"
"app/Http/Controllers/TaskSettingController.php","1","179"
"app/Exports/DealReportExport.php","1","179"
"app/DataTables/LeadNotesDataTable.php","1","178"
"app/Console/Commands/SendImmigrationExpiryAlert.php","1","178"
"database/migrations/2025_11_06_065342_add_view_employee_menu_permission.php","1","178"
"Modules/QRCode/DataTables/QRCodeDataTable.php","1","178"
"app/Models/Order.php","1","177"
"app/Http/Controllers/LeadStageSettingController.php","1","176"
"database/migrations/2023_01_09_162235_create_estimate_templates_table.php","1","175"
"Modules/Purchase/Routes/web.php","1","175"
"app/Models/LeadCustomForm.php","1","175"
"Modules/Recruit/DataTables/CandidateDatabaseDataTable.php","1","174"
"Modules/DeveloperTools/Services/FileScanner.php","1","174"
"Modules/Payroll/Entities/API/SalarySlip.php","1","174"
"app/DataTables/FinanceReportDataTable.php","1","174"
"app/Console/Commands/AutoCreateRecurringTasks.php","1","174"
"Modules/Warehouse/Services/SalesShipmentStockService.php","1","173"
"app/Http/Controllers/ProfileController.php","1","173"
"app/Jobs/ImportEstimateChunkJob.php","1","173"
"app/DataTables/ShiftChangeRequestDataTable.php","1","172"
"app/Observers/EventObserver.php","1","172"
"app/DataTables/LeaveReportDataTable.php","1","172"
"app/Console/Commands/VerifyStripePaymentEnvironmentCommand.php","1","172"
"Modules/Payroll/Http/Controllers/OvertimePolicyController.php","1","172"
"app/DataTables/SuperAdmin/OfflinePlanChangeDataTable.php","1","171"
"app/DataTables/LeadReportDataTable.php","1","170"
"app/Observers/ProposalTemplateObserver.php","1","170"
"app/Http/Controllers/TaskReportController.php","1","170"
"Modules/Subdomain/Providers/SubdomainServiceProvider.php","1","169"
"Modules/QRCode/Http/Requests/QrPreview.php","1","169"
